,cluster,latitude,longitude,supply
102,9261,33.7074,-117.7054,7.0
103,9264,33.721,-118.0033,3.0
104,9266,33.621,-117.9321,22.0
105,9269,33.6128,-117.6622,42.0
106,9270,33.7297,-117.88373333333334,74.0
107,9280,33.837925,-117.905475,19.0
108,9283,33.8994,-117.9063,18.0
109,9286,33.7875,-117.8776,71.0
110,9288,33.8419,-117.6043,3.0
111,9300,34.2846,-119.2222,23.0
112,9306,34.2656,-118.7653,3.0
113,9310,34.4369,-119.7285,42.0
114,9323,36.3275,-119.6457,5.0
115,9325,36.0686,-119.0315,3.0
116,9329,36.3551,-119.301,32.0
117,9330,35.399233333333335,-118.99983333333334,81.0
118,9331,35.3039,-119.1056,8.0
119,9340,35.2635,-120.6509,7.0
120,9345,34.9545,-120.4325,13.0
121,9353,34.6909,-118.1491,38.0
122,9355,34.6017,-118.231,9.0
123,9361,36.8149,-119.7106,5.0
124,9363,37.00075,-120.0471,16.0
125,9371,36.8236,-119.7621,8.0
126,9372,36.797799999999995,-119.7749,93.0
127,9390,36.689,-121.6517,40.0
128,9392,36.5552,-121.9233,12.0
129,9401,37.6229,-122.4228,18.0
130,9404,37.3855,-122.088,9.0
131,9406,37.453,-122.25255000000001,29.0
132,9410,37.7917,-122.4186,27.0
133,9411,37.766600000000004,-122.43135,72.0
134,9414,37.7631,-122.4586,23.0
135,9415,37.7694,-122.3867,5.0
136,9430,37.4285,-122.17305,45.0
137,9452,37.9823,-122.0362,9.0
138,9453,37.83105,-121.94565,43.0
139,9454,37.66735,-122.08765,57.0
140,9455,38.4549,-122.2564,5.0
141,9457,38.11715,-122.3103,7.0
142,9458,37.72175,-121.92395,10.0
143,9459,38.01235,-122.13665,72.0
144,9460,37.8186,-122.23705000000001,67.0
145,9470,37.8571,-122.25,2.0
146,9490,37.990899999999996,-122.5609,10.0
147,9502,36.9238,-121.4606,7.0
148,9505,37.3483,-121.9844,8.0
149,9506,37.0089,-121.9849,23.0
150,9511,37.29235,-121.81915000000001,72.0
